河川名,水系,クラス,開発局,都道府県,河川コード
天塩川,天塩川,一級,北海道開発局,,810101
留萌川,留萌川,一級,北海道開発局,,810102
石狩川,石狩川,一級,北海道開発局,,810103
尻別川,尻別川,一級,北海道開発局,,810104
後志利別川,後志利別川,一級,北海道開発局,,810105
鵡川,鵡川,一級,北海道開発局,,810106
沙流川,沙流川,一級,北海道開発局,,810107
十勝川,十勝川,一級,北海道開発局,,810108
釧路川,釧路川,一級,北海道開発局,,810109
網走川,網走川,一級,北海道開発局,,810110
常呂川,常呂川,一級,北海道開発局,,810111
湧別川,湧別川,一級,北海道開発局,,810112
渚滑川,渚滑川,一級,北海道開発局,,810113
阿武隈川,阿武隈川,一級,東北地方整備局,,820201
名取川,名取川,一級,東北地方整備局,,820202
鳴瀬川,鳴瀬川,一級,東北地方整備局,,820203
北上川,北上川,一級,東北地方整備局,,820204
馬淵川,馬淵川,一級,東北地方整備局,,820205
高瀬川,高瀬川,一級,東北地方整備局,,820206
岩木川,岩木川,一級,東北地方整備局,,820207
米代川,米代川,一級,東北地方整備局,,820208
雄物川,雄物川,一級,東北地方整備局,,820209
子吉川,子吉川,一級,東北地方整備局,,820210
最上川,最上川,一級,東北地方整備局,,820211
赤川,赤川,一級,東北地方整備局,,820212
久慈川,久慈川,一級,関東地方整備局,,830301
那珂川,那珂川,一級,関東地方整備局,,830302
利根川,利根川,一級,関東地方整備局,,830303
荒川,荒川,一級,関東地方整備局,,830304
多摩川,多摩川,一級,関東地方整備局,,830305
鶴見川,鶴見川,一級,関東地方整備局,,830306
相模川,相模川,一級,関東地方整備局,,830307
富士川,富士川,一級,関東地方整備局,,830308
荒川,荒川,一級,北陸地方整備局,,840401
阿賀野川,阿賀野川,一級,北陸地方整備局,,840402
信濃川,信濃川,一級,北陸地方整備局,,840403
関川,関川,一級,北陸地方整備局,,840404
姫川,姫川,一級,北陸地方整備局,,840405
黒部川,黒部川,一級,北陸地方整備局,,840406
常願寺川,常願寺川,一級,北陸地方整備局,,840407
神通川,神通川,一級,北陸地方整備局,,840408
庄川,庄川,一級,北陸地方整備局,,840409
小矢部川,小矢部川,一級,北陸地方整備局,,840410
手取川,手取川,一級,北陸地方整備局,,840411
梯川,梯川,一級,北陸地方整備局,,840412
狩野川,狩野川,一級,中部地方整備局,,850501
安倍川,安倍川,一級,中部地方整備局,,850502
大井川,大井川,一級,中部地方整備局,,850503
菊川,菊川,一級,中部地方整備局,,850504
天竜川,天竜川,一級,中部地方整備局,,850505
豊川,豊川,一級,中部地方整備局,,850506
矢作川,矢作川,一級,中部地方整備局,,850507
庄内川,庄内川,一級,中部地方整備局,,850508
木曽川,木曽川,一級,中部地方整備局,,850509
鈴鹿川,鈴鹿川,一級,中部地方整備局,,850510
雲出川,雲出川,一級,中部地方整備局,,850511
櫛田川,櫛田川,一級,中部地方整備局,,850512
宮川,宮川,一級,中部地方整備局,,850513
新宮川,熊野川,一級,近畿地方整備局,,860601
紀の川,紀の川,一級,近畿地方整備局,,860602
大和川,大和川,一級,近畿地方整備局,,860603
淀川,淀川,一級,近畿地方整備局,,860604
加古川,加古川,一級,近畿地方整備局,,860605
揖保川,揖保川,一級,近畿地方整備局,,860606
九頭竜川,九頭竜川,一級,近畿地方整備局,,860607
北川,北川,一級,近畿地方整備局,,860608
由良川,由良川,一級,近畿地方整備局,,860609
円山川,円山川,一級,近畿地方整備局,,860610
千代川,千代川,一級,中国地方整備局,,870701
天神川,天神川,一級,中国地方整備局,,870702
日野川,日野川,一級,中国地方整備局,,870703
斐伊川,斐伊川,一級,中国地方整備局,,870704
江の川,江の川,一級,中国地方整備局,,870705
高津川,高津川,一級,中国地方整備局,,870706
佐波川,佐波川,一級,中国地方整備局,,870707
小瀬川,小瀬川,一級,中国地方整備局,,870708
太田川,太田川,一級,中国地方整備局,,870709
芦田川,芦田川,一級,中国地方整備局,,870710
高梁川,高梁川,一級,中国地方整備局,,870711
旭川,旭川,一級,中国地方整備局,,870712
吉井川,吉井川,一級,中国地方整備局,,870713
重信川,重信川,一級,四国地方整備局,,880801
肱川,肱川,一級,四国地方整備局,,880802
渡川,渡川,一級,四国地方整備局,,880803
仁淀川,仁淀川,一級,四国地方整備局,,880804
物部川,物部川,一級,四国地方整備局,,880805
那賀川,那賀川,一級,四国地方整備局,,880806
吉野川,吉野川,一級,四国地方整備局,,880807
土器川,土器川,一級,四国地方整備局,,880808
遠賀川,遠賀川,一級,九州地方整備局,,890901
松浦川,松浦川,一級,九州地方整備局,,890902
本明川,本明川,一級,九州地方整備局,,890903
六角川,六角川,一級,九州地方整備局,,890904
嘉瀬川,嘉瀬川,一級,九州地方整備局,,890905
筑後川,筑後川,一級,九州地方整備局,,890906
矢部川,矢部川,一級,九州地方整備局,,890907
菊池川,菊池川,一級,九州地方整備局,,890908
白川,白川,一級,九州地方整備局,,890909
緑川,緑川,一級,九州地方整備局,,890910
球磨川,球磨川,一級,九州地方整備局,,890911
川内川,川内川,一級,九州地方整備局,,890912
肝属川,肝属川,一級,九州地方整備局,,890913
大淀川,大淀川,一級,九州地方整備局,,890914
小丸川,小丸川,一級,九州地方整備局,,890915
五ヶ瀬川,五ヶ瀬川,一級,九州地方整備局,,890916
番匠川,番匠川,一級,九州地方整備局,,890917
大野川,大野川,一級,九州地方整備局,,890918
大分川,大分川,一級,九州地方整備局,,890919
山国川,山国川,一級,九州地方整備局,,890920